Graph 1
N       Best solution                           Num. Operations         Time AVG (s)
12      (0,)                                    40540                   0.01562190055847168
13      (0,)                                    81433                   0.015652179718017578
14      (0,)                                    163281                  0.04685640335083008
15      (0,)                                    327044                  0.09372067451477051
16      (0,)                                    654642                  0.15624618530273438
17      (0,)                                    1309915                 0.31243276596069336
18      (0,)                                    2620543                 0.6404733657836914
19      (0,)                                    5241886                 1.3434665203094482
20      (0,)                                    10484664                2.968048095703125
Graph 2
N       Best solution                           Num. Operations         Time AVG (s)
12      (0,)                                    20310                   0.0
13      (0,)                                    40763                   0.015617132186889648
14      (0,)                                    81694                   0.015620946884155273
15      (0,)                                    163583                  0.06245112419128418
16      (0,)                                    327390                  0.10934996604919434
17      (0,)                                    655035                  0.2499380111694336
18      (0,)                                    1310358                 0.5623974800109863
19      (0,)                                    2621039                 1.9526252746582031
20      (0,)                                    5242438                 2.563469171524048
Graph 3
N       Best solution                           Num. Operations         Time AVG (s)
12      (0,)                                    20310                   0.015619993209838867
13      (0,)                                    40763                   0.03120899200439453
14      (0,)                                    81694                   0.04683351516723633
15      (0,)                                    163583                  0.07810711860656738
16      (0,)                                    327390                  0.15621399879455566
17      (0,)                                    655035                  0.31243348121643066
18      (0,)                                    1310358                 0.6404464244842529
19      (0,)                                    2621039                 1.5621342658996582
20      (0,)                                    5242438                 2.5931408405303955
Graph 4
N       Best solution                           Num. Operations         Time AVG (s)
12      (5,)                                    5039                    0.015651702880859375
13      (6,)                                    5009                    0.015619277954101562
14      ()                                      5070                    0.0
15      (1,)                                    5015                    0.015621423721313477
16      ()                                      5003                    0.01558542251586914
17      ()                                      5069                    0.015618324279785156
18      ()                                      5095                    0.015656709671020508
19      ()                                      5101                    0.015622138977050781
20      ()                                      5004                    0.015586137771606445
