Graph 1
N       Best solution                                   Num. Operations         Time AVG (s)
12      (2, 7, 9)                                       43321                   0.015617609024047852
13      (1, 9, 10)                                      77400                   0.031223297119140625
14      (1, 2, 5)                                       172349                  0.04686260223388672
15      (0, 1, 9)                                       375536                  0.09372711181640625
16      (0, 3, 5)                                       739595                  0.17186594009399414
17      (0, 14, 16)                                     1339015                 0.32800984382629395
18      (3, 5, 13, 16)                                  2776483                 0.7341709136962891
19      (1, 3, 14)                                      5808402                 1.484022855758667
20      (0, 7, 10)                                      11179532                2.9836795330047607
Graph 2
N       Best solution                                   Num. Operations         Time AVG (s)
12      (2, 7, 9)                                       23310                   0.03124237060546875
13      (1, 9, 10)                                      39387                   0.015621185302734375
14      (1, 2, 5)                                       90934                   0.04686331748962402
15      (0, 1, 9)                                       203599                  0.07813477516174316
16      (0, 3, 5)                                       395488                  0.14055776596069336
17      (0, 14, 16)                                     682265                  0.2811853885650635
18      (3, 5, 13, 16)                                  1445840                 0.5467796325683594
19      (1, 3, 14)                                      3053460                 1.1872234344482422
20      (0, 7, 10)                                      5773702                 2.452510356903076
Graph 3
N       Best solution                                   Num. Operations         Time AVG (s)
12      (0, 1)                                  	12488                   0.031242847442626953
13      (1, 9, 10)                                      27373                   0.015620231628417969
14      (1, 2, 5)                                       44601                   0.031278371810913086
15      (0, 1, 9)                                       108382                  0.046836137771606445
16      (0, 3, 5)                                       188889                  0.09376716613769531
17      (5, 7, 8)                                       328487                  0.15621471405029297
18      (1, 6, 15)                                      539244                  0.2967848777770996
19      (1, 3, 14)                                      1445151                 1.124762773513794
20      (0, 7, 10)                                      4191957                 2.140119791030884
Graph 4
N       Best solution                                   Num. Operations         Time AVG (s)
12      (3, 10)                                 	6002                    0.04686474800109863
13      (4, 10)                                 	5098                    0.015620946884155273
14      (6, 11, 12)                                     5733                    0.015588760375976562
15      ()                                      	6413                    0.015624761581420898
16      (7,)                                   		6188                    0.015621423721313477
17      (5, 7)                                  	5201                    0.01562047004699707
18      ()                                      	5492                    0.015642642974853516
19      ()                                      	5826                    0.03121471405029297
20      ()                                      	5554                    0.031244277954101562
