Graph 1 Exhaustive Search V1
N       Best solution             Num. Operations         Time AVG (s)
12      (0, 5, 10, 11)            39812                   0.0
13      (3, 6, 9, 10)             92644                   0.015619516372680664
14      (0, 1, 4, 5, 6)           233954                  0.04686427116394043
15      (0, 3, 5, 9)              350553                  0.09372687339782715
16      (0, 1, 4, 7, 9)           910866                  0.21866202354431152
17      (1, 8, 9, 13, 16)         1388785                 0.34366869926452637
18      (0, 3, 4, 5)              3219696                 0.7498579025268555
19      (0, 3, 8, 9, 10)          6723004                 1.6402082443237305
20      (3, 8, 11, 12, 17)        13312609                3.3742053508758545
Graph 2 Exhaustive Search V2
N       Best solution             Num. Operations         Time AVG (s)
12      (0, 5, 10, 11)            22574                   0.015625953674316406
13      (3, 6, 9, 10)             51907                   0.01558542251586914
14      (0, 1, 4, 5, 6)           142546                  0.062485456466674805
15      (0, 3, 5, 9)              190497                  0.09372663497924805
16      (0, 1, 4, 7, 9)           553256                  0.1874547004699707
17      (1, 8, 9, 13, 16)         751056                  0.3280484676361084
18      (0, 3, 4, 5)              1779522                 0.6873044967651367
19      (0, 3, 8, 9, 10)          3802933                 1.4059183597564697
20      (3, 8, 11, 12, 17)        7423680                 3.4835216999053955
Graph 3 Using Best Node
N       Best solution             Num. Operations         Time AVG (s)
12      (1, 4, 6, 10)             11916                   0.0
13      (0, 2, 8)                 37204                   0.01565837860107422
14      (0, 1, 4, 5, 6)           97824                   0.031243562698364258
15      (0, 3, 5, 9)              127417                  0.03124213218688965
16      (0, 1, 4, 7, 9)           340000                  0.12500524520874023
17      (4, 7, 9, 11, 16)         353444                  0.15621519088745117
18      (0, 3, 4, 5)              725142                  0.35929203033447266
19      (0, 3, 8, 9, 10)          1354197                 0.734238862991333
20      (3, 8, 11, 12, 17)        5330912                 2.4681692123413086
Graph 4 Monte Carlo Algorithm k=1000
N       Best solution             Num. Operations         Time AVG (s)
12      (4, 6, 9, 10)             5626                    0.01558828353881836
13      (2, 3, 9)                 6759                    0.01558542251586914
14      (1, 4, 5, 6)              11293                   0.015619277954101562
15      (7, 9, 11)                6499                    0.03124237060546875
16      (3, 6, 9, 15)             9771                    0.031209230422973633
17      (4, 12, 14)               6208                    0.015619993209838867
18      ()                        6865                    0.015620231628417969
19      ()                        7592                    0.015613794326782227
20      ()                        7392                    0.015650033950805664
