Graph 1 Exhaustive Search V1
N       Best solution            Num. Operations         Time AVG (s)
12      (0, 1, 4, 6)             44122                   0.0
13      (0, 1, 4, 6, 11, 12)     54591                   0.0
14      (1, 2, 3, 6, 13)         188629                  0.03124213218688965
15      (1, 5, 7, 12, 13)        461274                  0.12496519088745117
16      (2, 3, 4, 9, 15)         866509                  0.20307660102844238
17      (1, 4, 6, 11, 13, 15)    1138695                 0.29680824279785156
18      (2, 9, 13, 16, 17)       3158261                 0.8747947216033936
19      (0, 1, 2, 7, 18)         8455389                 1.9839074611663818
20      (3, 6, 10, 13, 17)       13084804                3.124262571334839
Graph 2 Exhaustive Search V2
N       Best solution            Num. Operations         Time AVG (s)
12      (0, 1, 4, 6)             26417                   0.015621423721313477
13      (0, 1, 4, 6, 11, 12)     32064                   0.01562047004699707
14      (1, 2, 3, 6, 13)         112836                  0.031243562698364258
15      (1, 5, 7, 12, 13)        281547                  0.09372925758361816
16      (2, 3, 4, 9, 15)         510277                  0.1874561309814453
17      (1, 4, 6, 11, 13, 15)    602258                  0.28118228912353516
18      (2, 9, 13, 16, 17)       1749661                 0.6873407363891602
19      (0, 1, 2, 7, 18)         5129924                 1.8589742183685303
20      (3, 6, 10, 13, 17)       7261899                 3.0461888313293457
Graph 3 Using Best Node
N       Best solution            Num. Operations         Time AVG (s)
12      (0, 1, 4, 6)             15592                   0.015620946884155273
13      (0, 1, 4, 6, 11, 12)     23451                   0.015650033950805664
14      (1, 2, 3, 6, 13)         57333                   0.04690074920654297
15      (0, 1, 8, 13)            186950                  0.07813858985900879
16      (2, 3, 4, 9, 15)         406441                  0.1562483310699463
17      (1, 4, 6, 11, 13, 15)    286815                  0.1405925750732422
18      (0, 3, 14, 16)           1212501                 0.5623641014099121
19      (0, 1, 2, 7, 18)         2975393                 1.4683680534362793
20      (3, 6, 10, 13, 17)       3589553                 2.0463616847991943
Graph 4 Monte Carlo Algorithm k=10000
N       Best solution            Num. Operations         Time AVG (s)
12      (0, 1, 4, 6)             26417                   0.015621185302734375
13      (0, 1, 4, 6, 11, 12)     32064                   0.0
14      (1, 2, 3, 6, 13)         69956                   0.15617823600769043
15      (5, 6, 7, 12, 13)        85113                   0.18742132186889648
16      (4, 9, 10, 15)           82470                   0.20303964614868164
17      (4, 6, 11, 13, 15)       52676                   0.23431777954101562
18      (2, 9, 14, 16, 17)       64217                   0.1874556541442871
19      (17, 18)                 102474                  0.2187337875366211
20      (1, 3, 8, 17)            70567                   0.2811853885650635























